hit_id,x,y,z,volume_id,layer_id,module_id,particle_id
47358,61.1682,-28.3945,598.0,9,2,47,5.719582521876808e+17
47364,49.7243,-15.8069,598.0,9,2,47,8.737066427665613e+17
47673,46.4975,12.7828,598.0,9,2,58,8.016502856792146e+17
47685,47.463,13.5802,598.0,9,2,58,8.376731041037025e+17
47962,18.7626,25.2402,598.0,9,2,68,1.5314204110094336e+17
48306,-1.23643,33.0411,598.0,9,2,79,4.323491376403579e+17
50345,71.7177,-32.7642,698.0,9,4,47,5.719582521876808e+17
50370,57.835,-18.95,698.0,9,4,47,8.737066427665613e+17
50678,55.2342,15.9087,698.0,9,4,58,8.376731041037025e+17
50694,54.1593,15.1365,698.0,9,4,58,8.016502856792146e+17
50961,22.0382,29.3834,698.0,9,4,68,1.5314204110094336e+17
51306,-1.23943,38.7385,698.0,9,4,79,4.323491376403579e+17
53404,84.4948,-37.8943,818.0,9,6,47,5.719582521876808e+17
53407,67.5479,-22.8649,818.0,9,6,47,8.737066427665613e+17
53696,64.5521,18.7114,818.0,9,6,58,8.376731041037025e+17
53706,63.3711,18.0679,818.0,9,6,58,8.016502856792146e+17
53964,25.9839,34.3112,818.0,9,6,68,1.5314204110094336e+17
54280,-1.25124,45.5985,818.0,9,6,79,4.323491376403579e+17
56209,78.7071,-27.6496,958.0,9,8,47,8.737066427665613e+17
56253,99.4578,-43.669,958.0,9,8,48,5.719582521876808e+17
56484,74.0681,21.5616,958.0,9,8,58,8.016502856792146e+17
56491,75.3821,22.0313,958.0,9,8,58,8.376731041037025e+17
56689,30.5809,40.0015,958.0,9,8,68,1.5314204110094336e+17
56945,-1.22077,53.633,958.0,9,8,79,4.323491376403579e+17
58608,89.708,-32.6934,1098.0,9,10,47,8.737066427665613e+17
58634,114.533,-49.1228,1098.0,9,10,48,5.719582521876808e+17
58821,86.211,25.4024,1098.0,9,10,58,8.376731041037025e+17
58826,84.7719,25.1598,1098.0,9,10,58,8.016502856792146e+17
59014,35.216,45.6594,1098.0,9,10,68,1.5314204110094336e+17
59230,-1.08945,61.6743,1098.0,9,10,79,4.323491376403579e+17
60639,136.187,-56.4806,1298.0,9,12,48,5.719582521876808e+17
60640,105.149,-40.2789,1298.0,9,12,48,8.737066427665613e+17
60850,99.9224,30.4584,1298.0,9,12,61,8.016502856792146e+17
60853,101.65,30.2464,1298.0,9,12,61,8.376731041037025e+17
60953,41.9497,53.6977,1298.0,9,12,68,1.5314204110094336e+17
61148,-0.735587,73.1806,1298.0,9,12,79,4.323491376403579e+17
62361,158.044,-63.3063,1498.0,9,14,48,5.719582521876808e+17
62368,120.313,-48.2863,1498.0,9,14,48,8.737066427665613e+17
62536,115.102,35.968,1498.0,9,14,61,8.016502856792146e+17
62541,117.088,35.1044,1498.0,9,14,61,8.376731041037025e+17
62637,48.8291,61.7523,1498.0,9,14,68,1.5314204110094336e+17
62802,-0.370853,84.825,1498.0,9,14,79,4.323491376403579e+17
50081,20.751,-25.7764,698.0,9,4,36,7.476086019792568e+17
60427,38.8703,-47.8803,1298.0,9,12,36,7.476086019792568e+17
53141,24.3401,-30.1979,818.0,9,6,36,7.476086019792568e+17
58394,32.7816,-40.5282,1098.0,9,10,36,7.476086019792568e+17
54544,-32.4664,44.4158,818.0,9,6,90,3.377743700992983e+17
55992,28.5462,-35.3391,958.0,9,8,36,7.476086019792568e+17
60427,38.8703,-47.8803,1298.0,9,12,36,7.476086019792568e+17
47078,22.1956,-49.7606,598.0,9,2,36,8.78203164287828e+17
54544,-32.4664,44.4158,818.0,9,6,90,3.377743700992983e+17
58394,32.7816,-40.5282,1098.0,9,10,36,7.476086019792568e+17
60427,38.8703,-47.8803,1298.0,9,12,36,7.476086019792568e+17
59415,-44.2734,59.281,1098.0,9,10,90,3.377743700992983e+17
57192,-38.3279,51.8755,958.0,9,8,90,3.377743700992983e+17
60425,53.987,-105.496,1298.0,9,12,35,8.78203164287828e+17
53141,24.3401,-30.1979,818.0,9,6,36,7.476086019792568e+17
50061,26.3714,-57.9146,698.0,9,4,36,8.78203164287828e+17
47078,22.1956,-49.7606,598.0,9,2,36,8.78203164287828e+17
55992,28.5462,-35.3391,958.0,9,8,36,7.476086019792568e+17
53141,24.3401,-30.1979,818.0,9,6,36,7.476086019792568e+17
57192,-38.3279,51.8755,958.0,9,8,90,3.377743700992983e+17
54544,-32.4664,44.4158,818.0,9,6,90,3.377743700992983e+17
